

 X,Y,Z 
8.14029,0.72784,4.63517
8.14029,0.67038,4.63517
8.15944,0.72784,4.61602
8.14029,0.68953,4.61602
8.15944,0.67038,4.61602
8.14029,0.74699,4.63517
8.14029,0.72784,4.61602
8.14029,0.74699,4.63517
8.14029,0.72784,4.61602
8.15944,0.72784,4.61602
8.15944,0.70868,4.61602
8.14029,0.72784,4.61602
8.14029,0.72784,4.63517
8.15944,0.68953,4.61602
8.15944,0.67038,4.59687
8.15944,0.67038,4.61602
8.14029,0.7853,4.61602
8.14029,0.68953,4.61602
MEDIA X, MEDIA Y, MEDIA Z 
8.14667,0.71324,4.61967, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00925,0.03312,0.01152
0.00577,0.00577,0.00577
INC FINAL X,INC FINAL Y,INC FINAL Z
0.01091,0.03362,0.01289
ANG ENCODER,ANG APP,INC FINAL ANG

060.0750
060.0750,60.53784,0.0894



 X,Y,Z 
8.92558,0.76614,2.91135
8.92558,0.72784,2.91135
8.92558,0.72784,2.9305
8.92558,0.74699,2.91135
8.92558,0.72784,2.9305
8.92558,0.72784,2.9305
8.92558,0.74699,2.91135
8.92558,0.74699,2.91135
8.92558,0.74699,2.9305
8.92558,0.72784,2.91135
8.90643,0.72784,2.91135
8.92558,0.72784,2.91135
8.90643,0.76614,2.9305
8.92558,0.74699,2.9305
8.92558,0.68953,2.9305
8.92558,0.74699,2.91135
8.90643,0.70868,2.91135
8.94474,0.67038,2.9305
8.92558,0.70868,2.9305
8.92558,0.80445,2.91135
8.92558,0.74699,2.91135
MEDIA X, MEDIA Y, MEDIA Z 
8.92376,0.73513,2.91956, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00836,0.02807,0.00971
0.00577,0.00577,0.00577
INC FINAL X,INC FINAL Y,INC FINAL Z
0.01016,0.02866,0.0113
ANG ENCODER,ANG APP,INC FINAL ANG

070.4250
070.4250,71.94081,0.08763



 X,Y,Z 
9.32781,0.67038,1.37906
9.32781,0.80445,1.34075
9.34696,0.80445,1.34075
9.32781,0.7853,1.34075
9.32781,0.82361,1.34075
9.32781,0.80445,1.34075
9.32781,0.7853,1.35991
9.32781,0.76614,1.34075
9.32781,0.7853,1.34075
9.32781,0.76614,1.34075
9.32781,0.76614,1.34075
9.32781,0.7853,1.34075
9.32781,0.80445,1.3216
9.32781,0.84276,1.35991
9.30866,0.76614,1.35991
9.34696,0.80445,1.34075
9.32781,0.80445,1.34075
9.32781,0.80445,1.3216
9.32781,0.7853,1.34075
9.34696,0.7853,1.35991
9.32781,0.80445,1.3216
MEDIA X, MEDIA Y, MEDIA Z 
9.32963,0.78803,1.34349, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.00836,0.03333,0.01393
0.00577,0.00577,0.00577
INC FINAL X,INC FINAL Y,INC FINAL Z
0.01016,0.03383,0.01507
ANG ENCODER,ANG APP,INC FINAL ANG

080.0999
080.0999,81.83429,0.10877



 X,Y,Z 
9.46189,0.76614,-0.2873
9.46189,0.7853,-0.32561
9.48104,0.72784,-0.26815
9.48104,0.74699,-0.2873
9.48104,0.7853,-0.30646
9.48104,0.74699,-0.32561
9.48104,0.76614,-0.2873
9.48104,0.70868,-0.30646
9.50019,0.72784,-0.2873
9.48104,0.70868,-0.30646
9.48104,0.74699,-0.32561
9.48104,0.70868,-0.2873
9.48104,0.74699,-0.30646
9.46189,0.7853,-0.32561
9.48104,0.74699,-0.2873
9.50019,0.72784,-0.30646
9.48104,0.76614,-0.30646
9.48104,0.7853,-0.2873
9.48104,0.76614,-0.30646
9.48104,0.74699,-0.2873
9.51935,0.68953,-0.32561
MEDIA X, MEDIA Y, MEDIA Z 
9.48195,0.74699,-0.3019, 
INCERTEZAS X,INCERTEZAS Y,INCERTEZAS Z
0.01281,0.02841,0.01703
0.00577,0.00577,0.00577
INC FINAL X,INC FINAL Y,INC FINAL Z
0.01406,0.02899,0.01798
ANG ENCODER,ANG APP,INC FINAL ANG

090.0000
090.0000
090.0000,91.818,0.13703


